# colibri-trace,v1
ns,forward,thread,kind,layer,eid,generation,resource
6634665920400,20,0,weight_lru,1,0,0,1
6634665920500,20,0,compute_start,1,1,0,0
6634666020900,20,0,compute_end,1,1,0,0
6634666021200,20,0,compute_start,1,0,0,1
6634666119400,20,0,compute_end,1,0,0,1
6634666218000,20,0,forward_end,1,-1,0,1
6634666251900,21,0,forward_begin,0,-1,0,1
6634666668000,21,0,msa_scan_begin,1,-1,0,6
6634666668500,21,0,msa_scan_end,1,-1,0,6
6634666668500,21,0,msa_select_begin,1,-1,0,6
6634666668700,21,0,msa_select_end,1,-1,0,6
6634666766000,21,0,route_ready,1,1,0,0
6634666766100,21,0,route_ready,1,0,0,0
6634666766400,21,0,weight_lru,1,1,0,0
6634666766500,21,0,weight_lru,1,0,0,1
6634666766500,21,0,compute_start,1,1,0,0
6634666864400,21,0,compute_end,1,1,0,0
6634666864700,21,0,compute_start,1,0,0,1
6634666963700,21,0,compute_end,1,0,0,1
6634667065900,21,0,forward_end,1,-1,0,1
6634648956300,1,1,load_start,1,1,1,0
6634648984000,1,1,load_complete,1,1,1,0
6634648957800,1,2,load_start,1,0,1,1
6634648992300,1,2,load_complete,1,0,1,1
