# colibri-trace,v1
ns,forward,thread,kind,layer,eid,generation,resource
6634518216000,19,0,msa_select_end,1,-1,0,6
6634518294300,19,0,route_ready,1,1,0,0
6634518296600,19,0,route_ready,1,0,0,0
6634518297000,19,0,weight_lru,1,1,0,0
6634518297100,19,0,weight_lru,1,0,0,1
6634518297200,19,0,compute_start,1,1,0,0
6634518377200,19,0,compute_end,1,1,0,0
6634518377500,19,0,compute_start,1,0,0,1
6634518461500,19,0,compute_end,1,0,0,1
6634518544900,19,0,forward_end,1,-1,0,1
6634518573700,20,0,forward_begin,0,-1,0,1
6634518938100,20,0,msa_scan_begin,1,-1,0,6
6634518938600,20,0,msa_scan_end,1,-1,0,6
6634518938600,20,0,msa_select_begin,1,-1,0,6
6634518938800,20,0,msa_select_end,1,-1,0,6
6634519025500,20,0,route_ready,1,1,0,0
6634519025500,20,0,route_ready,1,0,0,0
6634519025900,20,0,weight_lru,1,1,0,0
6634519026000,20,0,weight_lru,1,0,0,1
6634519026100,20,0,compute_start,1,1,0,0
6634519117400,20,0,compute_end,1,1,0,0
6634519117600,20,0,compute_start,1,0,0,1
6634519205500,20,0,compute_end,1,0,0,1
6634519319100,20,0,forward_end,1,-1,0,1
6634519359800,21,0,forward_begin,0,-1,0,1
6634519743900,21,0,msa_scan_begin,1,-1,0,6
6634519744300,21,0,msa_scan_end,1,-1,0,6
6634519744300,21,0,msa_select_begin,1,-1,0,6
6634519744500,21,0,msa_select_end,1,-1,0,6
6634519833100,21,0,route_ready,1,1,0,0
6634519833200,21,0,route_ready,1,0,0,0
6634519833600,21,0,weight_lru,1,1,0,0
6634519833700,21,0,weight_lru,1,0,0,1
6634519833800,21,0,compute_start,1,1,0,0
6634519922000,21,0,compute_end,1,1,0,0
6634519922100,21,0,compute_start,1,0,0,1
6634520011500,21,0,compute_end,1,0,0,1
6634520098600,21,0,forward_end,1,-1,0,1
6634503731000,1,1,load_start,1,1,1,0
6634503805100,1,1,load_complete,1,1,1,0
6634503747300,1,2,load_start,1,0,1,1
6634503795700,1,2,load_complete,1,0,1,1
